nappy run log  2026-09-12T20:50:23  version v0.8.2-870-g6ff43b3

day 1  act 1  run seed 3265820891  city seed 3265820891  length 180.0s  invincible
   0.0  shot     burst complete: 36 frames | duration
   0.0  path     onto the corridor at (159,20), after 0.0s off it
   0.0  path     off the corridor at (159,28), after 0.0s on it
   0.0  path     onto the corridor at (158,27), after 0.0s off it
   0.0  turn     doubled back 7°
   0.0  path     off the corridor at (159,28), after 0.0s on it
   0.0  path     onto the corridor at (157,33), after 0.0s off it
   0.0  cross    stepped into the road at (157,33), at a zebra
   0.0  crowd    a car sounded its horn at her in the road at (157,33) | exc 0, in 0.0/s (crowd 2.3, events 0.0), sleep 32
   0.0  ahead    cat_dash crosses 332px in front of her at (157,33)
   0.0  crowd    a car sounded its horn at her in the road at (157,34) | exc 0, in 0.0/s (crowd 3.7, events 0.0), sleep 33
   0.0  cue      the mark over her head: soon for 0.0s (1.0s of it on the road) | a car, and she is in the road
   0.0  cross    stepped into the road at (157,36), mid-block
   0.0  crowd    a car sounded its horn at her in the road at (157,36) | exc 0, in 0.0/s (crowd 4.1, events 0.0), sleep 33
   0.0  crowd    a car sounded its horn at her in the road at (156,37) | exc 0, in 0.0/s (crowd 22.8, events 0.0), sleep 33
   0.0  cue      the mark over her head: soon for 0.0s (1.0s of it on the road) | a car, and she is in the road
   0.0  path     off the corridor at (159,42), after 0.0s on it
   0.0  crowd    a car sounded its horn at her in the road at (157,50) | exc 0, in 0.0/s (crowd 11.2, events 0.0), sleep 36
   0.0  cross    stepped into the road at (157,50), mid-block
   0.0  crowd    a car sounded its horn at her in the road at (157,50) | exc 0, in 0.0/s (crowd 28.8, events 0.0), sleep 36
   0.0  near     market_stall at (159,52), 63px, exc 0, in 0.0/s (crowd 44.1, events 2.2), sleep 36
   0.0  crowd    a car sounded its horn at her in the road at (156,52) | exc 0, in 0.0/s (crowd 31.3, events 3.2), sleep 36
   0.0  near     market_stall at (155,52), 63px, exc 0, in 0.0/s (crowd 29.6, events 3.3), sleep 36
   0.0  crowd    a car sounded its horn at her in the road at (156,55) | exc 0, in 0.0/s (crowd 0.0, events 0.0), sleep 37
   0.0  near     delivery_van at (155,66), 150px, exc 0, in 0.0/s (crowd 12.0, events 0.0), sleep 38
   0.0  near     delivery_van at (158,66), 149px, exc 0, in 0.0/s (crowd 9.3, events 0.0), sleep 38
