nappy run log  2026-09-20T11:53:24  version v0.13.1-9-ged64fe3b
  29.2  frame    fps 119, worst frame 8.3ms, draws 426, objects 2230, primitives 4875, process 13.51ms, physics 1.57ms
  30.2  path     onto the corridor at (29,62), after 5.1s off it
  30.2  frame    fps 119, worst frame 16.7ms, draws 426, objects 2027, primitives 4469, process 14.14ms, physics 1.48ms
  31.2  frame    fps 120, worst frame 16.7ms, draws 440, objects 2048, primitives 4677, process 11.06ms, physics 1.54ms
  32.2  frame    fps 119, worst frame 16.7ms, draws 429, objects 2027, primitives 4518, process 13.64ms, physics 1.52ms
  33.2  frame    fps 118, worst frame 16.7ms, draws 574, objects 2390, primitives 5220, process 14.84ms, physics 1.57ms
  34.2  frame    fps 118, worst frame 16.7ms, draws 409, objects 2007, primitives 4312, process 14.73ms, physics 1.63ms
  35.2  frame    fps 117, worst frame 25.0ms, draws 408, objects 1987, primitives 4269, process 23.06ms, physics 1.59ms
  36.2  frame    fps 118, worst frame 16.7ms, draws 405, objects 2010, primitives 4293, process 14.01ms, physics 1.63ms
  36.5  ahead    loose_dog comes at her from 0px in front of her at (19,62)
  36.9  near     loose_dog (telegraph) at (19,57), 139px, exc 0, in 1.1/s (crowd 0.0, events 1.2), sleep 15
  37.2  near     loose_dog (telegraph) at (19,58), 75px, exc 0, in 3.4/s (crowd 0.0, events 3.4), sleep 15
  37.3  frame    fps 118, worst frame 8.3ms, draws 440, objects 2179, primitives 4725, process 14.12ms, physics 1.64ms
  37.4  near     loose_dog (telegraph) at (19,59), 41px, exc 0, in 6.4/s (crowd 2.3, events 4.4), sleep 15
  37.5  near     loose_dog (telegraph) at (19,59), 20px, exc 0, in 8.0/s (crowd 3.3, events 4.7), sleep 15
  37.6  cross    stepped into the road at (19,59), at a zebra
  38.3  frame    fps 115, worst frame 25.0ms, draws 281, objects 1829, primitives 4103, process 24.25ms, physics 1.95ms
  39.3  frame    fps 119, worst frame 8.3ms, draws 246, objects 1590, primitives 3528, process 14.53ms, physics 1.58ms
  39.5  near     delivery_van at (15,51), 149px, exc 0, in 0.0/s (crowd 0.0, events 0.0), sleep 16
  40.3  frame    fps 119, worst frame 8.3ms, draws 424, objects 1998, primitives 4419, process 13.83ms, physics 1.59ms
  41.3  frame    fps 119, worst frame 16.7ms, draws 428, objects 2055, primitives 4503, process 13.97ms, physics 1.59ms
  42.0  closure  saw the roadworks on v(1,2) from (19,47)
  42.3  frame    fps 119, worst frame 16.7ms, draws 443, objects 2280, primitives 5121, process 12.87ms, physics 1.60ms
  42.5  path     off the corridor at (19,45), after 12.3s on it
  42.5  cross    stepped into the road at (19,45), at a zebra
  43.1  path     onto the corridor at (20,44), after 0.6s off it
  43.3  frame    fps 118, worst frame 16.7ms, draws 440, objects 2183, primitives 4909, process 14.40ms, physics 1.65ms
  44.3  frame    fps 119, worst frame 8.3ms, draws 610, objects 2692, primitives 5947, process 15.07ms, physics 1.66ms
  44.7  near     leaf_blower at (29,48), 188px, exc 0, in 0.2/s (crowd 0.0, events 0.2), sleep 18
  45.3  frame    fps 120, worst frame 16.7ms, draws 443, objects 2287, primitives 5062, process 10.63ms, physics 1.61ms
  45.8  road     3.4s on the road (2.8s of it carriageway), (19,45) -> (27,43)
  46.3  frame    fps 119, worst frame 8.3ms, draws 446, objects 2262, primitives 5086, process 14.77ms, physics 1.58ms
